,titulo,caracteristicas,precos,endereco,rua,bairro,cidade,data_pesquisa
395,"Casa Com 3 Dormitórios para Alugar, 123 m² Por R$1.200,00/mês - Ceilândia Norte - Ceilândia/df",144 m² área total 123 m² área útil 3 Quartos 2 Banheiros 3 Vagas,R$ 1.200,"Quadra QNO 13 Conjunto E 0, Ceilandia Norte, Ceilândia",,,,27-07-20
396,"Casa Com 3 Dormitórios para Alugar, 123 m² Por R$1.200,00/mês - Ceilândia Norte - Ceilândia/df",144 m² área total 123 m² área útil 3 Quartos 2 Banheiros 3 Vagas,R$ 1.200,"Quadra QNO 13 Conjunto E 0, Ceilandia Norte, Ceilândia",,,,27-07-20
397,"Casa, 380 m² - Venda Por R$750.000ou Aluguel Por R$3.000,00/mês - Jardim América - Goiânia/go",450 m² área total 380 m² área útil 3 Quartos 4 Banheiros,R$ 3.000,"Rua C 212 19, Jardim América, Goiânia",,,,27-07-20
398,Qr 212 Cj 18 Lt 24,80 m² área total 3 Quartos 1 Banheiro 1 Vaga,R$ 1.300,"Quadra QR 212 Conjunto 18, Samambaia Norte, Samambaia",,,,27-07-20
399,Casa - Colônia Agrícola Samambaia - Rua 2 Chac 83 Lt 8,200 m² área total 200 m² área útil 6 Quartos 1 Banheiro 8 Vagas,R$ 3.500,"Centro, Vicente Pires",,,,27-07-20
400,Condomínio Quintas Do Sol,600 m² área total 350 m² área útil 4 Quartos 5 Banheiros 4 Vagas,R$ 5.200,"Setor Habitacional Jardim Botânico, Brasília",,,,27-07-20
401,Casa Condomínio 02 Quartos Village Santa Rita III,57 m² área total 57 m² área útil 2 Quartos 1 Banheiro 2 Vagas,R$ 900,"Residencial Village Santa Rita I, Goiânia",,,,27-07-20
402,Sobrado em Condomínio para Locação no Santa Genoveva em Goiânia,130 m² área total 130 m² área útil 4 Quartos 3 Banheiros 2 Vagas,R$ 2.100,"Rua Boquim N360, Santa Genoveva, Goiânia",,,,27-07-20
403,"Casa para Aluguel - Setor Castelo Branco, 3 Quartos, 160 m²",160 m² área total 160 m² área útil 3 Quartos 2 Banheiros 5 Vagas,R$ 3.000,"Rua T 32, Setor Castelo Branco, Goiânia",,,,27-07-20
404,Qsb 08 Casa 19 Fundos (Sobrado),70 m² área total 70 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 1.200,"Centro, Taguatinga",,,,27-07-20
405,Casa - Park Way,5000 m² área total 2000 m² área útil 5 Quartos 4 Vagas,R$ 9.500,"QUADRA SMPW QUADRA 22 CONJUNTO 2, Park Way, Brasília",,,,27-07-20
406,Casa para Aluguel - no Setor Leste,65 m² área total 65 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 750,"Setor Leste, Gama",,,,27-07-20
407,Excelente Casa para Aluguel na Qi 16 Lago Sul,4 Quartos 4 Vagas,R$ 13.500,"Lago Sul, Brasília",,,,27-07-20
408,Shis Qi 23 Lago Sul - Excelente Casa Condomínio Alto Padrão,2000 m² área total 1000 m² área útil 5 Quartos 8 Banheiros 4 Vagas,R$ 28.000,"Lago Sul, Brasília",,,,27-07-20
409,Condomínio Botanic Garden,2800 m² área total 576 m² área útil 5 Quartos 9 Banheiros 6 Vagas,R$ 15.000,"SMDB Conjunto 19, Lago Sul, Brasília",,,,27-07-20
410,Alugo A Melhor Do Ville De Montagne Embaixada Ministro Empresário Ou Exigentes,800 m² área total 450 m² área útil 5 Quartos 9 Banheiros 4 Vagas,R$ 13.500,"Lago Sul, Brasília",,,,27-07-20
411,"Casa para Alugar, 4 Quartos, Setor Sul",560 m² área total 275 m² área útil 4 Quartos 4 Banheiros 4 Vagas,R$ 3.200,"Setor Sul, Goiânia",,,,27-07-20
412,Aluguel Casa Nova 2 Quartos C/ Suíte,100 m² área total 100 m² área útil 2 Quartos 2 Banheiros 1 Vaga,R$ 1.600,"Paranoa, Paranoá",,,,27-07-20
413,Casa Residencial/comercial 05 Quartos Sendo 05 Suites - Morada Nobre,360 m² área total 360 m² área útil 5 Quartos 6 Banheiros 2 Vagas,R$ 6.000,"Morada Nobre , Morada Nobre, Valparaíso de Goiás",,,,27-07-20
414,Areal| Sobrado 04 Quartos,128 m² área total 187 m² área útil 4 Quartos 4 Banheiros 1 Vaga,R$ 2.300,"Quadra QS 8 Conjunto 210D, Areal, Águas Claras",,,,27-07-20
415,"Casa na Ql 06 Do Lago Sul, 800 m² Por R$15.000/mês - Lago Sul - Brasília/df",1500 m² área total 800 m² área útil 5 Quartos 6 Banheiros 8 Vagas,R$ 15.000,"Quadra SHIS QL 6 0, Lago Sul, Brasília",,,,27-07-20
416,Excelente Casa 4 Quartos 3 Suites A Venda no Lago Sul,800 m² área total 750 m² área útil 4 Quartos 6 Banheiros 4 Vagas,R$ 12.500,"ql 6 lago sul, Lago Sul, Brasília",,,,27-07-20
417,"Qr 606 - Casa Com 2 Dormitórios para Alugar, 60 m² - Samambaia Norte - /df",60 m² área total 60 m² área útil 2 Quartos 1 Banheiro,R$ 700,"Samambaia Norte, Samambaia",,,,27-07-20
418,"Casa para Alugar Condomínio Fechado, Formosa",210 m² área total 282 m² área útil 2 Quartos 1 Banheiro 2 Vagas,R$ 770,"VIA 2, Chácara 34, Lt 17, Chácaras do Abreu, Formosa",,,,27-07-20
419,Shis Qi 07 - Casa Lago Sul,1320 m² área total 1320 m² área útil 5 Quartos 6 Vagas,R$ 35.000,"Lago Sul, Brasília",,,,27-07-20
420,Shis Qi 07 - Casa Lago Sul,1320 m² área total 1320 m² área útil 5 Quartos 6 Vagas,R$ 35.000,"Lago Sul, Brasília",,,,27-07-20
421,Casa Com 02 Pavimentos em Ótima Localização,2000 m² área total 600 m² área útil 6 Quartos 6 Banheiros 2 Vagas,R$ 20.000,"SHIS QL 12 Conjunto 3, Lago Sul, Brasília",,,,27-07-20
422,Alugo Casa na Quadra 08 Conjunto A Sobradinho - Df,65 m² área total 65 m² área útil 3 Quartos 1 Banheiro 1 Vaga,R$ 1.500,"QUADRA 08 CONJUNTO A LOTE 14 , Sobradinho, Sobradinho",,,,27-07-20
423,Qd 300 - 01 Quarto - Recanto Das Emas,40 m² área total 40 m² área útil 1 Quarto 1 Banheiro,R$ 650,"Recanto das Emas, Recanto das Emas",,,,27-07-20
424,"Casa para Aluguel - Samambaia, 3 Quartos, 100 m²",100 m² área total 100 m² área útil 3 Quartos 2 Banheiros 3 Vagas,R$ 1.480,"Qr 405 Conjunto 8, Samambaia, Samambaia",,,,27-07-20
425,Rua 02 - Casa Sozinha no Lote para Alugar Com 05 Quartos E 04 Suítes Próximo Ao Taguaparque,980 m² área total 368 m² área útil 5 Quartos 5 Banheiros 8 Vagas,R$ 3.500,"Samambaia, Samambaia",,,,27-07-20
426,"Casa Com 3 Dormitórios para Alugar, 80 m² Por R$1.400,00/mês - Taguatinga Norte - Taguatinga/df",80 m² área total 80 m² área útil 3 Quartos 1 Banheiro,R$ 1.400,"Taguatinga Norte, Taguatinga",,,,27-07-20
427,"Casa Com 3 Dormitórios para Alugar, 90 m² Por R$1.450,00/mês - Taguatinga Norte - Taguatinga/df",90 m² área total 90 m² área útil 3 Quartos 1 Banheiro,R$ 1.450,"Taguatinga Norte, Taguatinga",,,,27-07-20
428,Casa para Aluguel no Condominio Granville,650 m² área total 575 m² área útil 4 Quartos 5 Banheiros 2 Vagas,R$ 11.000,"Residencial Granville, Goiânia",,,,27-07-20
429,Shis Qi 29 - Casa Alto Padrão 4 Quartos,234 m² área total 540 m² área útil 4 Quartos 3 Banheiros 4 Vagas,R$ 4.800,"QD Shis Qi 29 , Lago Sul, Brasília",,,,27-07-20
430,Ql 26 Com Vista Exclusiva para Ponte Jk,1300 m² área total 1000 m² área útil 6 Quartos,R$ 20.000,"QD Shis Ql 26 26, Lago Sul, Brasília",,,,27-07-20
431,Aluga na Shis Ql 24 Ponta De Picolé. Marcos 98414 - 4977,1000 m² área total 1000 m² área útil 0 Quartos 9 Banheiros 10 Vagas,R$ 80.000,"Lago Sul, Brasília",,,,27-07-20
432,"Qi 15, Casa Térrea, Esquina,4 Suítes,450 m Obra, Lt 800 + 600a/v, Piscina, 2.6 Milhões",1450 m² área total 450 m² área útil 4 Quartos 0 Banheiros 8 Vagas,R$ 13.000,"Lago Sul, Brasília",,,,27-07-20
433,"Casa para Alugar, 1 Quarto, Jardim Das Esmeraldas",40 m² área total 40 m² área útil 1 Quarto 1 Banheiro,R$ 600,"Jardim das Esmeraldas, Goiânia",,,,27-07-20
434,"Casa para Aluguel - Ceilândia, 1 Quarto, 35 m²",35 m² área total 35 m² área útil 1 Quarto 1 Banheiro 1 Vaga,R$ 633,"Qnm Conjunto G, Ceilandia Centro, Ceilândia",,,,27-07-20
435,Casa - Ceilândia Sul - Qnm 21 Cj E Lt 33,1 Quarto 1 Banheiro,R$ 600,"Centro, Ceilândia",,,,27-07-20
436,Ql 14 Beira Do Lago E Mobiliada,1395 m² área total 802 m² área útil 5 Quartos 6 Banheiros 4 Vagas,R$ 47.500,"QD Shis Ql 14, Lago Sul, Brasília",,,,27-07-20
437,Qr 408 Conjunto 19,80 m² área total 80 m² área útil 3 Quartos 2 Banheiros 2 Vagas,R$ 1.400,"QR 408 CONJUNTO 19, Samambaia Norte, Samambaia",,,,27-07-20
438,"Casa Com 3 Dormitórios para Alugar, 230 m² Por R$3.300/mês - Setor Habitacional Samambaia - Vicente",230 m² área total 230 m² área útil 3 Quartos 5 Banheiros 2 Vagas,R$ 3.300,"Chácara Gemétris Chácara 3 1, Samambaia, Samambaia",,,,27-07-20
439,"Casa para Aluguel - Setor Leste Vila Nova, 2 Quartos, 50 m²",50 m² área total 50 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 555,"Rua 207, Setor Leste Vila Nova, Goiânia",,,,27-07-20
440,"Casa para Aluguel - Taguatinga, 4 Quartos, 400 m²",400 m² área total 400 m² área útil 4 Quartos 7 Banheiros 4 Vagas,R$ 10.000,"Sh Arniqueiras, Taguatinga Centro, Taguatinga",,,,27-07-20
441,Casa no Solar De Brasília Térrea Com 04 Suítes E Lazer Completo,800 m² área total 600 m² área útil 4 Quartos 4 Banheiros 6 Vagas,R$ 15.000,"Avenida Solar Condomínio Solar de Brasília , Lago Sul, Brasília",,,,27-07-20
442,Linda! Muita Luz Natural,776 m² área total 1100 m² área útil 5 Quartos 10 Vagas,R$ 45.000,"Quadra SHIS QI 15 Área Especial s/n, Lago Sul, Brasília",,,,27-07-20
443,"Casa para Aluguel - Setor Oeste, 7 Quartos, 900 m²",900 m² área total 900 m² área útil 7 Quartos 6 Banheiros 8 Vagas,R$ 7.000,"Rua R 11, Setor Oeste, Goiânia",,,,27-07-20
444,Casa - Riacho Fundo I,60 m² área total 60 m² área útil 2 Quartos 1 Vaga,R$ 750,"QUADRA QN 7 CONJUNTO 25, Riacho Fundo I, Riacho Fundo",,,,27-07-20
445,"Casa para Aluguel - Taguatinga, 4 Quartos, 130 m²",130 m² área total 130 m² área útil 4 Quartos 3 Banheiros 1 Vaga,R$ 2.800,"Quadra Qs 7 Rua 218, Taguatinga Centro, Taguatinga",,,,27-07-20
446,"Sobrado Com 2 Dormitórios para Alugar, 80 m² Por R$910,00/mês - Areal - Águas Claras/df",128 m² área total 80 m² área útil 2 Quartos 2 Banheiros,R$ 910,"Quadra Qs 6 Conjunto 310a 20, Areal, Águas Claras",,,,27-07-20
447,"Casa para Aluguel - Setor Norte Ferroviário, 3 Quartos, 100 m²",100 m² área total 100 m² área útil 3 Quartos 1 Banheiro,R$ 1.090,"Rua 303, Setor Norte Ferroviário, Goiânia",,,,27-07-20
448,"Casa para Aluguel - Setor Norte Ferroviário, 1 Quarto, 35 m²",35 m² área total 35 m² área útil 1 Quarto 1 Banheiro 1 Vaga,R$ 653,"Avenida dos Ferroviários, Setor Norte Ferroviário, Goiânia",,,,27-07-20
449,"Casa para Aluguel - Asa Norte, 1 Quarto, 30 m²",30 m² área total 30 m² área útil 1 Quarto 1 Banheiro 1 Vaga,R$ 1.339,"Rua 1, Asa Norte, Brasília",,,,27-07-20
450,"Casa para Aluguel - Setor Goiânia 2, 6 Quartos, 500 m²",500 m² área total 500 m² área útil 6 Quartos 5 Banheiros 3 Vagas,R$ 3.900,"Alameda Vitória Régia, Setor Goiânia 2, Goiânia",,,,27-07-20
451,"Casa De Fundos De 2 Quartos em Taguatinga Norte Abaixo Da Sandu Norte, Qnc 04",70 m² área total 70 m² área útil 2 Quartos 1 Banheiro,R$ 700,"Quadra Qnc 4 3, Taguatinga Norte, Taguatinga",,,,27-07-20
452,Shis Ql 10 Linda Mansão - em Dois Lotes,2400 m² área total 900 m² área útil 5 Quartos 0 Banheiros,R$ 20.000,"Lago Sul, Brasília",,,,27-07-20
453,Condomínio Granville,444 m² área total 444 m² área útil 4 Quartos 6 Banheiros 3 Vagas,R$ 10.500,"Av. Nápoli, Alameda Florença, Residencial Granville, Goiânia-GO , Residencial Granville, Goiânia",,,,27-07-20
454,"Casa De Fundos Com 2 Quartos em Taguatinga Norte, Próx. Ao Pistão Norte",70 m² área total 70 m² área útil 2 Quartos 1 Banheiro 2 Vagas,R$ 1.100,"Quadra QNA 28 16, Taguatinga Norte, Taguatinga",,,,27-07-20
455,Aceita Permuta Por Casa De Menor Valor,2800 m² área total 600 m² área útil 5 Quartos 4 Vagas,R$ 19.500,"Quadra SHIS QI 15, Lago Sul, Brasília",,,,27-07-20
456,Alugo Kitnet na Qms 03 Rua 20 Setor De Mansões/ Sobradinho - Df,30 m² área total 27 m² área útil 1 Quarto 1 Banheiro 1 Vaga,R$ 650,"QMS 03 , Setor De Mansões De Sobradinho, Sobradinho",,,,27-07-20
457,Casa - Samambaia Sul - Qr 504 Cj 11 Cs 6,60 m² área total 60 m² área útil 3 Quartos 1 Banheiro 3 Vagas,R$ 1.100,"Centro, Samambaia",,,,27-07-20
458,Qe 03 - Casa De Frente - 4 Qts C/ Suite + Armário + Depósito + Canil + Estudio,200 m² área total 200 m² área útil 3 Quartos 3 Banheiros 3 Vagas,R$ 2.400,"Guara I, Guará",,,,27-07-20
459,"Casa para Alugar, St. Ferroviário, Formosa - Go",282 m² área total 3 Quartos 1 Banheiro 1 Vaga,R$ 1.000,"RUA OLÍMPIO ESPÍNDOLA, Setor Ferroviário, Formosa",,,,27-07-20
460,"Sobrado, 400 m² - Venda Por R$899.900ou Aluguel Por R$2.800,00/mês - Setor Bueno - Goiânia/go",550 m² área total 400 m² área útil 4 Quartos 4 Banheiros 8 Vagas,R$ 2.800,"Rua T 31 12, Setor Bueno, Goiânia",,,,27-07-20
461,"Casa para Aluguel - Setor Marista, 3 Quartos, 250 m²",250 m² área total 250 m² área útil 3 Quartos 2 Banheiros 2 Vagas,R$ 2.700,"Rua 1144, Setor Marista, Goiânia",,,,27-07-20
462,"Casa para Alugar, Bela Vista, Formosa - Go",300 m² área total 418 m² área útil 3 Quartos 1 Banheiro 2 Vagas,R$ 800,"RUA 9, Setor Bela Vista, Formosa",,,,27-07-20
463,"Casa Aluguel Centro, Formosa - Go",300 m² área total 398 m² área útil 3 Quartos 1 Banheiro 2 Vagas,R$ 1.000,"RUA PROFESSORA ALTA VIDAL, Centro, Formosa",,,,27-07-20
464,Casa Residencial Orienteville,91 m² área total 91 m² área útil 3 Quartos 4 Banheiros 2 Vagas,R$ 1.800,"Rua Maria Senhorinha de Jesus, Setor Orienteville, Goiânia-GO , Setor Orienteville, Goiânia",,,,27-07-20
465,Casa - Ceilandia Sul,53 m² área total 53 m² área útil 2 Quartos 1 Vaga,R$ 950,"Ceilandia Sul, Ceilândia",,,,27-07-20
466,Apartamento,47 m² área total 47 m² área útil 1 Quarto 1 Banheiro,R$ 750,"Quadra Quadra 11 2, Sobradinho, Sobradinho",,,,27-07-20
467,Casa - Setor Habitacional Jardim Botânico,800 m² área total 530 m² área útil 4 Quartos 5 Vagas,R$ 8.500,"CONDOMÍNIO ESTÂNCIA JARDIM BOTÂNICO, Setor Habitacional Jardim Botânico, Brasília",,,,27-07-20
468,"Vendo Ou Alugo Casa 3 Quartos, Térrea, Colonial",555 m² área total 195 m² área útil 3 Quartos 2 Banheiros 3 Vagas,R$ 2.800,"Condomínio Interlagos Estrada do Sol, Setor Habitacional Jardim Botânico, Brasília",,,,27-07-20
469,Casa Com 2 Dormitórios para Alugar Por R$1.250/mês - Sobradinho - Sobradinho/df,88 m² área total 88 m² área útil 2 Quartos 1 Banheiro,R$ 950,"Quadra Quadra 15 Conjunto A 65, Sobradinho, Sobradinho",,,,27-07-20
470,Casas,67 m² área total 67 m² área útil 2 Quartos 1 Banheiro,R$ 950,"Quadra Qms 1b 9, Setor De Mansões De Sobradinho, Sobradinho",,,,27-07-20
471,"Casa Com 1 Dormitório para Alugar Por R$600,00/mês - Sobradinho - Sobradinho/df",27 m² área total 27 m² área útil 1 Quarto 1 Banheiro,R$ 600,"Quadra Quadra 10 Conjunto D 0, Sobradinho, Sobradinho",,,,27-07-20
472,Casa Aluguel Guará 4 Quartos Mobiliada,4 Quartos 2 Vagas,R$ 7.000,"Guara II, Guará",,,,27-07-20
473,Casas,50 m² área total 50 m² área útil 1 Quarto 1 Banheiro,R$ 650,"Quadra Qms 28 3, Setor De Mansões De Sobradinho, Sobradinho",,,,27-07-20
474,Casa Super Agradável na Qi 19 Lago Sul.,1360 m² área total 500 m² área útil 4 Quartos 5 Banheiros 4 Vagas,R$ 14.000,"Lago Sul, Brasília",,,,27-07-20
475,"Casa para Aluguel - Setor Norte Ferroviário, 2 Quartos, 120 m²",120 m² área total 120 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 4.000,"Rua Snf 2, Quadra 1 Lote 6, St.norte Ferroviário, Setor Norte Ferroviário, Goiânia",,,,27-07-20
476,Shis Qi 15 Casa para Aluguel Lago Sul,800 m² área total 650 m² área útil 4 Quartos 4 Vagas,R$ 15.000,"Lago Sul, Brasília",,,,27-07-20
477,"Casa para Aluguel - Ceilândia, 2 Quartos, 150 m²",150 m² área total 150 m² área útil 2 Quartos 1 Banheiro 4 Vagas,R$ 700,"Setor Habitacional Sol Nascente Chacara 78 Conj E, Ceilandia Centro, Ceilândia",,,,27-07-20
478,Quadra Shis Qi 29 Conjunto 8,350 m² área total 350 m² área útil 3 Quartos 3 Banheiros,R$ 5.000,"Quadra SHIS QI 29 Conjunto 8, Lago Sul, Brasília",,,,27-07-20
479,"Casa para Aluguel - Samambaia, 4 Quartos, 120 m²",120 m² área total 120 m² área útil 4 Quartos 2 Banheiros 2 Vagas,R$ 1.043,"Qr 311 Conj 1, Samambaia, Samambaia",,,,27-07-20
480,"Casa para Aluguel - Setor Marista, 7 Quartos, 200 m²",200 m² área total 200 m² área útil 7 Quartos 3 Banheiros,R$ 2.337,"Rua T 50, Setor Marista, Goiânia",,,,27-07-20
481,Smpw Quadra 26 Casa Park Way,2500 m² área total 300 m² área útil 5 Quartos 10 Vagas,R$ 5.500,"Park Way, Brasília",,,,27-07-20
482,Casa para Venda E Aluguel Smpw Quadra 26 Park Way,2500 m² área total 300 m² área útil 5 Quartos,R$ 5.500,"Park Way, Brasília",,,,27-07-20
483,Casa Shis Ql 10 Lago Sul para Aluguel,1780 m² área total 6 Quartos 2 Vagas,R$ 25.000,"Lago Sul, Brasília",,,,27-07-20
484,"Excelente Sobrado na Cidade De Caldas Novas - Go, Maior Centro De Aguas Termais Do Mundo Com 90 Mt",300 m² área total 90 m² área útil 1 Quarto 2 Banheiros 4 Vagas,R$ 990,"Centro, Caldas Novas",,,,27-07-20
485,"Casa De 3 Quarto Sendo 2 Suítes + Dce em Taguatinga Norte, Qnb 02",340 m² área total 280 m² área útil 3 Quartos 3 Banheiros 3 Vagas,R$ 3.500,"Quadra QNB 2 12, Taguatinga Norte, Taguatinga",,,,27-07-20
486,Casa para Aluguel - no Setor Leste,70 m² área total 70 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 800,"Setor Leste, Gama",,,,27-07-20
487,Casa Rua Cordoba Parque Amazonia,200 m² área total 200 m² área útil 3 Quartos 5 Banheiros 2 Vagas,R$ 2.000,"Rua Córdoba, qd. 251, lt. 11, Setor Nova Suiça, Goiânia-GO , Setor Nova Suiça, Goiânia",,,,27-07-20
488,Condomínio Fechado Jardim Milão,360 m² área total 360 m² área útil 4 Quartos 2 Banheiros 3 Vagas,R$ 10.000,"Rua Jardins Milão, Jardins Milão, Goiânia-GO , Jardins Milão, Goiânia",,,,27-07-20
489,"Casa para Aluguel - Setor Leste Universitário, 3 Quartos, 180 m²",180 m² área total 180 m² área útil 3 Quartos 2 Banheiros 4 Vagas,R$ 2.100,"Rua 259, Setor Leste Universitário, Goiânia",,,,27-07-20
490,"Casa para Aluguel - Jardim Planalto, 4 Quartos, 250 m²",250 m² área total 250 m² área útil 4 Quartos 2 Banheiros 3 Vagas,R$ 2.200,"Avenida Itália, Jardim Planalto, Goiânia",,,,27-07-20
491,"Casa para Aluguel - Setor Castelo Branco, 7 Quartos, 550 m²",550 m² área total 550 m² área útil 7 Quartos 7 Banheiros 7 Vagas,R$ 5.000,"Avenida C-2 Quadra 168 Lote 4, Setor Castelo Branco, Goiânia",,,,27-07-20
492,"Casa para Aluguel - Jardim América, 5 Quartos, 167 m²",167 m² área total 167 m² área útil 5 Quartos 3 Banheiros 4 Vagas,R$ 4.000,"Rua C162, Jardim América, Goiânia",,,,27-07-20
493,Casa Comercial,260 m² área total 260 m² área útil 3 Quartos 3 Banheiros 3 Vagas,R$ 6.000,"Rua 20, Setor Oeste, Goiânia-GO , Setor Oeste, Goiânia",,,,27-07-20
494,Casa Padrão,120 m² área total 120 m² área útil 2 Quartos 2 Banheiros,R$ 4.800,"Rua 144, Setor Marista, Goiânia-GO , Setor Marista, Goiânia",,,,27-07-20
495,Sobrado De Condomínio,687 m² área total 420 m² área útil 4 Quartos 4 Banheiros 7 Vagas,R$ 18.000,"Avenida Alphaville Flamboyant, Residencial Alphaville Flamboyant, Goiânia-GO , Residencial Alphaville Flamboyant, Goiânia",,,,27-07-20
496,"Casa para Aluguel - Jardim América, 4 Quartos, 420 m²",420 m² área total 420 m² área útil 4 Quartos 6 Banheiros 6 Vagas,R$ 5.000,"Rua C-158 Quadra 315 Lote 05, Jardim América, Goiânia",,,,27-07-20
497,Condomínio Solar De Brasília 2,800 m² área total 400 m² área útil 5 Quartos 0 Banheiros,R$ 7.500,"Setor Habitacional Jardim Botânico, Brasília",,,,27-07-20
498,Casa - Village,450 m² área total 350 m² área útil 2 Quartos 3 Banheiros 3 Vagas,R$ 1.200,"Village, Formosa",,,,27-07-20
499,Shigs 711 Bloco L Casa 05,150 m² área total 150 m² área útil 3 Quartos 1 Banheiro 2 Vagas,R$ 3.300,"Asa Sul, Brasília",,,,27-07-20
500,Sobrado - Celina Park,375 m² área total 300 m² área útil 4 Quartos 3 Banheiros 5 Vagas,R$ 2.600,"Rua CP 22, Quadra CP20, Lote 04, Residencial Celina Park, Goiânia-GO , Residencial Celina Park, Goiânia",,,,27-07-20
501,"Park Way - Casa Com Habite - Se De 588 m² em Terreno De 5000 m², Linda Casa Frente A Epia.",5000 m² área total 588 m² área útil 6 Quartos 9 Banheiros 6 Vagas,R$ 10.000,"SMPW Quadra 26, Park Way, Brasília",,,,27-07-20
502,"Casa Com 2 Dormitórios para Alugar, 49 m² Por R$1.000,00/mês - Taguatinga Norte - Taguatinga/df",49 m² área total 49 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 1.000,"Setor QNH 5 47, Taguatinga Norte, Taguatinga",,,,27-07-20
503,"Casa Com 2 Dormitórios para Alugar, 50 m² Por R$1.200,00/mês - Taguatinga Norte - Taguatinga/df",50 m² área total 50 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 1.200,"Setor QNH 5 47, Taguatinga Norte, Taguatinga",,,,27-07-20
504,"Casa Com 1 Dormitório para Alugar, 25 m² Por R$600,00/mês - Taguatinga Norte - Taguatinga/df",25 m² área total 25 m² área útil 1 Quarto 1 Banheiro,R$ 600,"Setor QNH 5 47, Taguatinga Norte, Taguatinga",,,,27-07-20
505,"Casa Com 3 Dormitórios para Alugar, 62 m² Por R$1.300,00/mês - Taguatinga Norte - Taguatinga/df",62 m² área total 62 m² área útil 3 Quartos 1 Banheiro 1 Vaga,R$ 1.300,"Setor QNH 5 47, Taguatinga Norte, Taguatinga",,,,27-07-20
506,"Casa Com 1 Dormitório para Alugar, 25 m² Por R$600,00/mês - Taguatinga Norte - Taguatinga/df",25 m² área total 25 m² área útil 1 Quarto 1 Banheiro,R$ 600,"Setor QNH 5 47, Taguatinga Norte, Taguatinga",,,,27-07-20
507,"Casa para Aluguel - Taguatinga, 3 Quartos, 62 m²",62 m² área total 62 m² área útil 3 Quartos 1 Banheiro 1 Vaga,R$ 1.300,"Qnh 5, Taguatinga Centro, Taguatinga",,,,27-07-20
508,"Casa para Aluguel - Taguatinga, 2 Quartos, 50 m²",50 m² área total 50 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 1.200,"Qnh 05, Taguatinga Centro, Taguatinga",,,,27-07-20
509,"Casa para Aluguel - Taguatinga, 1 Quarto, 25 m²",25 m² área total 25 m² área útil 1 Quarto 1 Banheiro,R$ 600,"Qnh 5, Taguatinga Centro, Taguatinga",,,,27-07-20
510,"Casa para Aluguel - Taguatinga, 2 Quartos, 49 m²",49 m² área total 49 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 1.000,"Qnh 5, Taguatinga Centro, Taguatinga",,,,27-07-20
511,Casa - Setor Habitacional Jardim Botânico,800 m² área total 500 m² área útil 6 Quartos 3 Banheiros 3 Vagas,R$ 7.900,"CONDOMÍNIO ESTÂNCIA JARDIM BOTÂNICO, Setor Habitacional Jardim Botânico, Brasília",,,,27-07-20
512,Shis Qi 23 Lago Sul - Excelente Casa Condomínio Alto Padrão,2000 m² área total 1000 m² área útil 5 Quartos 8 Banheiros 4 Vagas,R$ 28.000,"Lago Sul, Brasília",,,,27-07-20
513,Shis Qi 23 Lago Sul - Excelente Casa Condomínio Alto Padrão,2000 m² área total 1000 m² área útil 5 Quartos 8 Banheiros 4 Vagas,R$ 28.000,"Lago Sul, Brasília",,,,27-07-20
514,Casa - Setor De Habitações Individuais Sul,3320 m² área total 520 m² área útil 5 Quartos,R$ 12.500,"QUADRA SHIS QI 9 CONJUNTO 4, Lago Sul, Brasília",,,,27-07-20
515,Areal - Casa Nova - 2 Quartos - Acesso Entre Lojas,60 m² área total 60 m² área útil 2 Quartos 1 Banheiro,R$ 950,"Quadra QS 11 Conjunto D, Areal, Águas Claras",,,,27-07-20
516,Shis Qi 23 Lago Sul - Excelente Casa Condomínio Alto Padrão,2000 m² área total 1000 m² área útil 5 Quartos 8 Banheiros 4 Vagas,R$ 28.000,"Lago Sul, Brasília",,,,27-07-20
517,Shis Qi 7 Oportunidade! Ponta De Quadra,5000 m² área total 1083 m² área útil 9 Quartos 0 Banheiros,R$ 35.000,"Shis Qi 7 , Lago Sul, Brasília",,,,27-07-20
518,Shis Ql 26 - Mobiliada,8000 m² área total 956 m² área útil 7 Quartos 0 Banheiros 10 Vagas,R$ 18.000,"Shis Ql 26 , Lago Sul, Brasília",,,,27-07-20
519,Shis Ql 24 - Ótima Casa Lago Sul,2 Quartos 0 Banheiros,R$ 5.000,"Lago Sul, Brasília",,,,27-07-20
520,"Casa para Aluguel - Taguatinga, 1 Quarto, 50 m²",50 m² área total 50 m² área útil 1 Quarto 1 Banheiro,R$ 864,"Qsd 15, Taguatinga Centro, Taguatinga",,,,27-07-20
521,Casa na Ql 16 Lago Sul,1800 m² área total 800 m² área útil 4 Quartos 6 Banheiros 7 Vagas,R$ 18.000,"Lago Sul, Brasília",,,,27-07-20
